序号,代码,名称,最新价,今日涨跌幅,今日主力净流入-净额,今日主力净流入-净占比,今日超大单净流入-净额,今日超大单净流入-净占比,今日大单净流入-净额,今日大单净流入-净占比,今日中单净流入-净额,今日中单净流入-净占比,今日小单净流入-净额,今日小单净流入-净占比
2726,301059,金三江,10.5,0.29,-2938227.0,-9.41,0.0,0.0,-2938227.0,-9.41,-2019021.0,-6.46,4957248.0,15.87
2727,300732,设研院,6.17,-0.96,-2938898.0,-8.37,0.0,0.0,-2938898.0,-8.37,785145.0,2.24,2153754.0,6.13
2728,605167,利柏特,9.0,-1.21,-2944072.0,-8.14,-606108.0,-1.68,-2337964.0,-6.47,-4571692.0,-12.65,7515764.0,20.79
2729,600876,凯盛新能,9.49,-0.84,-2957399.0,-6.68,803327.0,1.81,-3760726.0,-8.49,-1686193.0,-3.81,4643592.0,10.49
2730,688523,航天环宇,19.27,-0.52,-2961956.0,-9.5,2804.0,0.01,-2964760.0,-9.51,-441594.0,-1.42,3403549.0,10.92
2731,002585,双星新材,4.9,-1.21,-2965040.0,-6.75,0.0,0.0,-2965040.0,-6.75,1396891.0,3.18,1568149.0,3.57
2732,603350,安乃达,32.75,-1.86,-2967656.0,-6.72,1937515.0,4.39,-4905171.0,-11.11,-20047.0,-0.05,2987704.0,6.77
2733,301291,明阳电气,41.95,0.22,-2974384.0,-1.96,1108032.0,0.73,-4082416.0,-2.68,10172227.0,6.69,-7197843.0,-4.73
2734,300480,光力科技,12.15,-2.57,-2976645.0,-6.52,-1432284.0,-3.14,-1544361.0,-3.38,2127883.0,4.66,848762.0,1.86
2735,688286,敏芯股份,63.03,-1.68,-2977833.0,-3.8,-533693.0,-0.68,-2444140.0,-3.12,2971055.0,3.8,6778.0,0.01
2736,301378,通达海,24.28,-3.11,-2979906.0,-5.99,0.0,0.0,-2979906.0,-5.99,94351.0,0.19,2885557.0,5.8
2737,688348,昱能科技,40.17,-2.14,-2987267.0,-5.9,-603037.0,-1.19,-2384230.0,-4.71,4158338.0,8.21,-1171070.0,-2.31
2738,605058,澳弘电子,21.82,-1.31,-2990055.0,-8.58,-546135.0,-1.57,-2443920.0,-7.01,-1473370.0,-4.23,4463425.0,12.81
2739,000526,学大教育,56.93,1.32,-2992933.0,-1.82,1741906.0,1.06,-4734839.0,-2.88,3257306.0,1.98,-264373.0,-0.16
2740,000892,欢瑞世纪,3.41,-2.01,-3001476.0,-5.2,-485243.0,-0.84,-2516233.0,-4.36,127876.0,0.22,2873600.0,4.98
2741,603037,凯众股份,15.84,-0.19,-3003012.0,-4.35,-14338.0,-0.02,-2988674.0,-4.33,1284368.0,1.86,1718644.0,2.49
2742,605006,山东玻纤,6.11,-1.77,-3005978.0,-6.97,-1890977.0,-4.39,-1115001.0,-2.59,-2016753.0,-4.68,5022731.0,11.65
2743,300801,泰和科技,15.71,-1.19,-3010967.0,-9.64,0.0,0.0,-3010967.0,-9.64,-1707372.0,-5.46,4718339.0,15.1
2744,002727,一心堂,13.28,0.23,-3014252.0,-5.42,-70331.0,-0.13,-2943921.0,-5.3,-4351584.0,-7.83,7365836.0,13.26
2745,603012,创力集团,5.35,-1.29,-3015825.0,-7.17,-2455050.0,-5.84,-560775.0,-1.33,-278765.0,-0.66,3294590.0,7.83
2746,688613,奥精医疗,15.69,-1.94,-3020057.0,-11.14,-936917.0,-3.45,-2083140.0,-7.68,969132.0,3.57,2050924.0,7.56
2747,301338,凯格精机,32.12,-1.65,-3020928.0,-7.4,-1198651.0,-2.93,-1822277.0,-4.46,-450827.0,-1.1,3471755.0,8.5
2748,600877,电科芯片,11.86,-0.84,-3021059.0,-4.82,-5571977.0,-8.9,2550918.0,4.07,1657214.0,2.65,1363846.0,2.18
2749,002879,长缆科技,15.1,-1.18,-3024629.0,-9.29,0.0,0.0,-3024629.0,-9.29,-2723994.0,-8.37,5748623.0,17.66
2750,300275,梅安森,12.31,-2.3,-3031546.0,-3.41,-1653624.0,-1.86,-1377922.0,-1.55,3593746.0,4.05,-562201.0,-0.63
2751,601366,利群股份,4.78,-1.44,-3031738.0,-9.75,-2623292.0,-8.44,-408446.0,-1.31,993299.0,3.2,2038439.0,6.56
2752,000004,国华网安,8.71,-3.76,-3031827.0,-5.35,0.0,0.0,-3031827.0,-5.35,-3803307.0,-6.72,6835134.0,12.07
2753,603203,快克智能,22.6,-0.79,-3039508.0,-9.49,-4005993.0,-12.51,966485.0,3.02,2722339.0,8.5,317169.0,0.99
2754,688058,宝兰德,26.72,-4.26,-3039927.0,-7.82,-4789332.0,-12.33,1749405.0,4.5,2159541.0,5.56,880386.0,2.27
2755,601186,中国铁建,8.05,0.0,-3045013.0,-2.21,973519.0,0.71,-4018532.0,-2.91,-2977488.0,-2.16,6022500.0,4.37
2756,601998,中信银行,7.26,0.83,-3048713.0,-1.01,4142816.0,1.37,-7191529.0,-2.38,4279078.0,1.42,-1230364.0,-0.41
2757,002219,新里程,2.27,-1.3,-3048851.0,-4.14,-8509676.0,-11.56,5460825.0,7.42,2013069.0,2.73,1035783.0,1.41
