日期,收盘价,涨跌幅,主力净流入-净额,主力净流入-净占比,超大单净流入-净额,超大单净流入-净占比,大单净流入-净额,大单净流入-净占比,中单净流入-净额,中单净流入-净占比,小单净流入-净额,小单净流入-净占比,总净流入,资金集中度,主力控盘度,资金流向趋势,标准化资金流向
2025-03-21,5.36,-1.11,-6727644.0,-0.78,11709750.0,1.37,-18437394.0,-2.15,17316512.0,2.02,-10588867.0,-1.23,-6727643.0,0.740542564461173,-2.0000002972806374,14645220.4,0.12021187420664445
2025-03-24,5.4,0.75,69565316.0,7.72,68902333.0,7.64,662983.0,0.07,-78384097.0,-8.7,8818772.0,0.98,69565307.0,1.990469890400944,2.000000258749638,15988486.4,1.1279257933810547
2025-03-25,5.48,1.48,89042208.0,9.04,66078350.0,6.71,22963858.0,2.33,-75543023.0,-7.67,-13499185.0,-1.37,89042208.0,1.7421014312672733,1.9999999999999776,39369367.6,1.3851860545202819
2025-03-26,5.48,0.0,9975373.0,1.42,-1744936.0,-0.25,11720309.0,1.67,-41106356.0,-5.86,31130985.0,4.44,9975375.0,0.8250754482913348,1.999999599012368,34405696.6,0.3408333566741689
2025-03-27,5.53,0.91,-80763793.0,-8.65,-42999619.0,-4.61,-37764174.0,-4.04,-9313691.0,-1.0,90077482.0,9.65,-80763795.0,-1.5324120418065852,-1.9999999504728325,16218290.4,-0.8576931732782458
2025-03-28,5.5,-0.54,-99921219.0,-14.34,-89212000.0,-12.8,-10709219.0,-1.54,19107237.0,2.74,80813982.0,11.6,-99921219.0,-1.8928233751831842,-1.99999999999998,-2420424.8,-1.1107336287898744
2025-03-31,5.6,1.82,11318080.0,0.67,-11232448.0,-0.66,22550528.0,1.33,-7455408.0,-0.44,-3862656.0,-0.23,11318096.0,0.00756593688549668,1.9999971726691486,-14069867.0,0.3585686604115101
2025-04-01,5.52,-1.43,-80718165.0,-6.86,-28716997.0,-2.44,-52001168.0,-4.42,27025968.0,2.3,53692197.0,4.56,-80718165.0,-1.355768704603216,-1.9999999999999754,-48021941.6,-0.8570904703268993
2025-04-02,5.59,1.27,-63679295.0,-7.14,-4412792.0,-0.49,-59266503.0,-6.65,-9410690.0,-1.06,73089985.0,8.2,-63679295.0,-1.0692971239709694,-1.9999999999999687,-62752875.6,-0.6320328933685658
2025-04-03,5.66,1.25,21947706.0,2.32,35232030.0,3.72,-13284324.0,-1.4,-37415056.0,-3.95,15467349.0,1.63,21947705.0,2.6052717584821465,2.0000000911256097,-42210575.6,0.49896964037992897
2025-04-07,5.44,-3.89,-316288208.0,-12.62,-217488208.0,-8.68,-98800000.0,-3.94,72351856.0,2.89,243936352.0,9.73,-316288208.0,-1.6876266724429962,-1.9999999999999936,-85483973.4,-3.9686127180786817
2025-04-08,5.47,0.55,-157875744.0,-7.57,-107553760.0,-5.15,-50321984.0,-2.41,-20402160.0,-0.98,178277904.0,8.54,-157875744.0,-1.6812557602262086,-1.9999999999999871,-119322741.4,-1.8762248245247535
2025-04-09,5.41,-1.1,-51369248.0,-2.87,-11731536.0,-0.66,-39637712.0,-2.21,44093632.0,2.46,7275600.0,0.41,-51369264.0,-1.2283762523831132,-1.9999993770593638,-113452961.2,-0.46943609269211434
2025-04-10,5.38,-0.55,16186918.0,1.01,-12538410.0,-0.78,28725328.0,1.79,57045072.0,3.56,-73232000.0,-4.57,16186908.0,0.22539869875085314,2.000001235566298,-97479720.6,0.42287826729187583
2025-04-11,5.42,0.74,28132016.0,2.41,40896208.0,3.51,-12764192.0,-1.09,-25135472.0,-2.16,-2996534.0,-0.26,28132026.0,2.453723880391606,1.9999992890664187,-96242856.4,0.5806551218345406
2025-04-14,5.48,1.11,12179491.0,0.95,118828691.0,9.32,-106649200.0,-8.36,-19019728.0,-1.49,6840245.0,0.54,12179499.0,10.7564508195279,1.9999986863169001,-30549315.0,0.36994648487784143
2025-04-15,5.58,1.82,-45231536.0,-3.35,12177232.0,0.9,-57408768.0,-4.25,-24757024.0,-1.83,69988560.0,5.19,-45231536.0,-0.7307800469123858,-1.9999999999999558,-8020473.4,-0.388366033955278
2025-04-16,5.66,1.43,-148908176.0,-8.94,-60121104.0,-3.61,-88787072.0,-5.33,41560320.0,2.5,107347856.0,6.45,-148908176.0,-1.403746158303615,-1.9999999999999865,-27528255.8,-1.7577768801898834
2025-04-17,5.66,0.0,-52662424.0,-5.37,9207110.0,0.94,-61869534.0,-6.31,145292.0,0.01,52517124.0,5.36,-52662432.0,-0.8251672463588309,-1.9999996961780648,-41298123.8,-0.48651687661029985
2025-04-18,5.68,0.35,-91387256.0,-9.22,-48965136.0,-4.94,-42422120.0,-4.28,25994539.0,2.62,65392727.0,6.6,-91387246.0,-1.535798463606163,-2.0000002188488972,-65201978.2,-0.9980128154256173
