序号,代码,名称,最新价,今日涨跌幅,今日主力净流入-净额,今日主力净流入-净占比,今日超大单净流入-净额,今日超大单净流入-净占比,今日大单净流入-净额,今日大单净流入-净占比,今日中单净流入-净额,今日中单净流入-净占比,今日小单净流入-净额,今日小单净流入-净占比
4086,002861,瀛通通讯,12.75,2.91,-4761246.0,-3.31,1146634.0,0.8,-5907880.0,-4.1,-5056920.0,-3.51,9818167.0,6.82
4087,600955,维远股份,14.0,-1.06,-4762021.0,-12.73,-2454076.0,-6.56,-2307945.0,-6.17,-388171.0,-1.04,5150192.0,13.77
4088,002053,云南能投,11.02,2.61,-4764135.0,-7.75,2133043.0,3.47,-6897178.0,-11.22,406700.0,0.66,4357435.0,7.09
4089,000668,荣丰控股,5.51,-9.97,-4767803.0,-23.15,0.0,0.0,-4767803.0,-23.15,2140084.0,10.39,2627719.0,12.76
4090,603297,永新光学,87.24,2.23,-4775574.0,-4.63,-9133614.0,-8.86,4358040.0,4.23,582934.0,0.57,4192640.0,4.07
4091,600015,华夏银行,7.88,-1.13,-4781586.0,-1.24,-3283539.0,-0.85,-1498047.0,-0.39,16108527.0,4.18,-11326940.0,-2.94
4092,688381,帝奥微,22.02,0.55,-4782949.0,-5.31,-1870648.0,-2.08,-2912301.0,-3.23,-723488.0,-0.8,5506438.0,6.11
4093,300247,融捷健康,3.41,2.4,-4793669.0,-7.33,-594081.0,-0.91,-4199588.0,-6.42,4781120.0,7.31,12549.0,0.02
4094,688302,海创药业-U,40.11,2.64,-4802693.0,-5.04,-2861468.0,-3.0,-1941225.0,-2.04,2170682.0,2.28,2632011.0,2.76
4095,300653,正海生物,19.69,1.29,-4804233.0,-10.45,0.0,0.0,-4804233.0,-10.45,-2040055.0,-4.44,6844288.0,14.89
4096,603226,菲林格尔,6.11,-1.93,-4807365.0,-15.39,-303523.0,-0.97,-4503842.0,-14.42,2490787.0,7.97,2316578.0,7.42
4097,301200,大族数控,37.16,-2.36,-4811164.0,-4.5,-5646436.0,-5.28,835272.0,0.78,9144075.0,8.55,-4332912.0,-4.05
4098,300026,红日药业,3.33,0.0,-4817201.0,-6.01,-1002000.0,-1.25,-3815201.0,-4.76,286509.0,0.36,4530692.0,5.65
4099,603391,力聚热能,40.65,0.0,-4832299.0,-15.44,-1416460.0,-4.53,-3415839.0,-10.91,3821564.0,12.21,1010734.0,3.23
4100,601238,广汽集团,8.0,0.0,-4834079.0,-5.57,-8908187.0,-10.27,4074108.0,4.7,3142282.0,3.62,1691797.0,1.95
4101,600429,三元股份,4.52,0.44,-4837682.0,-7.74,-6238563.0,-9.98,1400881.0,2.24,3527030.0,5.64,1310652.0,2.1
4102,002174,游族网络,9.13,0.0,-4841337.0,-4.79,-141072.0,-0.14,-4700265.0,-4.65,4261535.0,4.22,579802.0,0.57
4103,000722,湖南发展,11.58,3.67,-4844271.0,-1.25,14551441.0,3.77,-19395712.0,-5.02,-9213952.0,-2.39,14058223.0,3.64
4104,688549,中巨芯-U,7.25,0.28,-4850030.0,-10.84,-856566.0,-1.91,-3993464.0,-8.92,-126234.0,-0.28,4976263.0,11.12
4105,002037,保利联合,7.77,0.91,-4851744.0,-9.91,0.0,0.0,-4851744.0,-9.91,-1864535.0,-3.81,6716279.0,13.72
4106,002774,快意电梯,7.82,0.77,-4864746.0,-10.25,-1178401.0,-2.48,-3686345.0,-7.76,-1676305.0,-3.53,6541051.0,13.78
